recorded_income,credit_score,existing_loans,age,loan_amount,gender,default
40.8,477.0,1,42.0,391.0,0,0
37.1,618.0,0,21.0,375.0,1,1
39.5,613.0,1,23.0,358.0,1,0
11.9,748.0,0,42.0,171.0,0,0
43.1,442.0,0,46.0,421.0,1,1
48.0,530.0,3,23.0,303.0,1,1
43.6,688.0,1,51.0,138.0,1,0
61.0,500.0,0,29.0,403.0,1,0
40.8,815.0,0,28.0,199.0,1,0
44.5,494.0,0,31.0,180.0,1,0
64.7,603.0,1,28.0,304.0,1,0
11.7,650.0,0,39.0,376.0,0,1
23.2,679.0,0,56.0,307.0,0,0
61.4,664.0,1,35.0,201.0,1,0
37.8,558.0,1,22.0,418.0,0,0
35.1,682.0,0,46.0,222.0,0,0
36.7,532.0,1,37.0,299.0,0,1
31.4,552.0,1,45.0,294.0,0,0
45.1,641.0,3,30.0,180.0,0,0
45.7,736.0,1,42.0,512.0,1,0
30.5,579.0,1,31.0,378.0,0,0
42.4,520.0,0,33.0,514.0,1,1
42.9,709.0,0,31.0,154.0,1,0
15.9,486.0,2,40.0,324.0,0,1
36.1,765.0,1,21.0,447.0,0,0
38.0,511.0,4,23.0,217.0,1,0
67.3,658.0,1,33.0,230.0,1,0
38.9,683.0,0,33.0,131.0,1,0
46.3,671.0,0,40.0,127.0,1,0
30.6,620.0,2,21.0,281.0,0,0
30.6,604.0,2,53.0,331.0,1,0
38.4,451.0,0,46.0,367.0,0,1
68.6,530.0,1,34.0,255.0,1,0
27.8,665.0,1,50.0,146.0,0,0
35.5,660.0,1,52.0,319.0,1,1
34.7,507.0,0,21.0,387.0,1,0
8.1,631.0,0,41.0,408.0,0,0
37.3,623.0,0,51.0,244.0,1,1
43.8,758.0,1,37.0,390.0,1,0
39.1,562.0,5,37.0,306.0,0,1
38.1,553.0,1,32.0,125.0,0,1
33.8,517.0,1,43.0,334.0,1,0
25.1,510.0,2,39.0,373.0,0,1
56.9,634.0,0,36.0,577.0,1,0
37.4,537.0,4,52.0,247.0,1,1
32.3,697.0,1,33.0,490.0,1,0
