feature_1,feature_2,class
1.107,0.924,0
0.91,0.321,0
1.462,-0.319,1
2.65,0.056,1
-0.332,0.032,0
0.232,-0.513,1
0.693,-0.024,1
-0.641,-0.251,0
-0.693,0.478,0
-0.171,0.306,0
1.47,-0.891,1
2.181,0.031,1
-1.199,0.275,0
0.466,0.778,0
2.165,0.057,1
-0.822,-0.235,0
-0.042,0.415,1
1.268,0.77,0
0.41,1.367,0
1.455,-0.391,1
1.916,-0.11,1
0.2,0.174,1
-0.554,1.001,0
-0.607,0.852,0
0.262,-0.131,1
-0.785,0.334,0
1.444,0.704,0
2.269,0.726,1
0.485,1.244,0
0.865,0.82,0
-0.77,0.401,0
0.046,1.238,0
0.894,1.61,0
0.25,0.809,0
1.536,0.049,1
0.483,0.749,0
-0.469,0.076,0
0.417,0.318,0
0.879,-0.705,1
-0.457,0.623,0
-0.126,1.906,0
1.99,-0.041,1
-0.807,0.896,0
0.772,-0.68,1
-0.279,-0.346,1
-0.907,-0.107,0
0.423,0.197,1
0.292,0.79,0
0.19,0.119,1
-0.695,1.602,0
1.717,0.376,1
-0.971,1.12,0
1.145,0.225,0
0.812,-0.372,1
-1.001,0.489,0
0.403,0.737,0
-1.303,1.213,0
0.273,-0.101,1
0.249,0.859,0
0.313,0.374,0
-0.379,1.037,1
1.077,0.006,0
0.143,0.015,1
1.444,-0.491,1
-0.995,0.646,0
0.812,-1.059,1
0.643,-1.015,1
1.19,-0.11,1
2.003,-0.033,1
-1.161,0.059,0
0.031,1.534,0
0.803,0.832,0
-0.17,-0.205,0
2.244,0.362,1
1.136,-0.585,1
1.589,-1.058,1
0.757,-0.503,1
0.913,0.875,0
1.006,0.184,1
1.196,-0.987,1
0.402,1.036,0
-0.229,1.51,0
-0.179,-0.212,1
0.516,-0.371,1
0.045,-0.348,1
-0.902,0.304,0
1.009,-0.146,0
-0.836,1.251,0
0.957,-0.081,0
0.25,0.32,0
0.673,0.435,1
0.167,-0.554,1
0.488,1.006,0
0.737,-0.155,1
0.242,0.582,1
0.769,1.363,0
1.309,-0.757,1
2.606,0.635,1
-0.308,0.491,0
1.055,-0.087,1
-0.154,0.681,1
-0.295,0.492,0
-0.212,0.784,0
0.583,-0.629,1
-0.133,1.291,0
2.308,0.356,1
1.252,0.192,0
-0.786,0.794,0
-0.933,0.673,0
1.84,0.47,1
-0.709,0.223,0
-0.533,0.927,0
0.137,0.008,1
1.724,-0.073,1
0.211,-0.486,1
0.276,0.823,0
0.296,-0.256,1
-1.82,0.232,0
-0.012,0.473,0
0.248,-0.431,1
-1.246,-0.132,0
0.354,-0.489,1
1.792,-0.764,1
1.556,-0.408,1
0.788,0.626,0
1.474,0.294,0
-1.219,0.289,0
1.186,-0.357,1
1.203,-1.204,1
0.518,0.837,0
0.375,0.731,0
0.394,0.707,1
1.145,-0.279,1
1.02,-0.356,1
0.818,-0.595,1
0.766,-0.295,1
0.318,0.077,1
0.428,0.215,1
0.455,-0.036,0
-0.434,1.048,0
0.263,-0.603,1
0.398,1.061,0
0.598,0.436,0
-1.224,0.432,0
0.005,-0.104,1
-0.195,0.648,0
1.303,-0.645,1
-0.352,1.14,0
0.56,0.435,1
1.87,-1.518,1
1.957,-0.297,1
0.468,0.274,1
1.767,0.342,1
0.235,0.44,0
0.153,0.178,1
0.956,0.829,0
-1.02,0.559,0
-0.393,0.528,0
1.114,1.009,0
0.046,1.116,0
-0.187,1.418,0
0.118,1.14,0
0.819,0.051,1
0.788,0.174,1
0.274,0.5,1
1.271,0.045,1
0.173,1.576,0
1.933,0.046,1
-0.772,0.09,0
0.754,-0.549,1
0.191,-0.325,1
1.08,0.775,0
-0.994,-0.514,0
0.279,0.864,0
-0.952,1.327,0
1.044,0.281,1
0.727,-0.06,1
0.278,1.546,0
0.879,-0.368,1
1.813,0.639,1
-0.629,0.267,0
0.327,1.431,0
0.245,0.197,1
-1.47,-0.415,0
-1.146,1.101,0
-0.186,0.813,0
0.608,0.274,0
1.46,-0.731,1
2.321,-0.446,1
0.426,0.368,0
1.725,-0.016,1
2.286,-0.019,1
0.451,0.831,0
-1.075,1.073,0
1.007,0.116,1
-0.23,1.947,0
1.023,1.125,0
-0.399,1.171,1
-1.038,-0.264,0
1.026,0.257,0
-0.746,0.958,0
0.418,-0.296,1
0.863,-0.485,1
0.302,0.541,0
