income,credit_score,repaid
86.5,735.0,1
26.6,309.0,0
76.3,435.0,1
21.9,607.0,0
51.0,300.0,1
20.9,493.0,0
65.1,586.0,1
77.3,341.0,1
44.0,735.0,1
86.6,712.0,1
76.0,434.0,1
37.1,745.0,1
56.1,579.0,1
70.3,634.0,1
76.2,842.0,1
84.7,304.0,1
21.6,570.0,0
69.6,755.0,1
21.1,778.0,1
82.5,457.0,1
28.1,586.0,1
78.3,463.0,1
34.5,570.0,0
87.6,669.0,1
51.4,721.0,1
35.8,622.0,1
32.6,515.0,1
58.5,445.0,1
36.7,694.0,1
64.3,341.0,0
22.4,343.0,0
30.0,455.0,0
79.6,346.0,1
58.0,786.0,1
31.0,836.0,1
22.0,610.0,0
20.9,603.0,0
29.9,576.0,1
40.6,409.0,0
61.9,457.0,1
77.0,538.0,1
72.1,333.0,1
37.2,796.0,1
21.9,493.0,0
46.6,549.0,1
45.0,418.0,0
55.9,482.0,1
39.9,788.0,1
60.7,452.0,0
19.2,669.0,0
28.6,782.0,0
71.4,596.0,1
89.0,750.0,1
74.6,492.0,1
77.4,698.0,1
73.7,401.0,1
46.5,755.0,1
69.1,348.0,1
56.3,515.0,1
46.1,829.0,1
31.7,757.0,0
79.2,643.0,1
15.5,507.0,0
75.3,547.0,1
80.5,631.0,1
43.9,493.0,0
76.7,630.0,1
37.3,765.0,1
51.6,427.0,0
53.9,633.0,1
25.4,800.0,1
36.7,503.0,0
32.2,739.0,1
46.6,319.0,1
64.0,471.0,1
64.7,778.0,1
51.9,638.0,1
47.1,843.0,1
50.7,599.0,1
36.0,423.0,0
23.8,325.0,0
33.9,841.0,0
61.9,335.0,0
15.2,766.0,0
60.7,660.0,1
32.3,801.0,1
24.9,838.0,1
49.1,525.0,0
38.3,410.0,0
17.7,752.0,0
66.8,525.0,1
73.3,306.0,0
13.5,815.0,0
60.1,602.0,1
30.0,705.0,0
44.2,374.0,0
73.2,552.0,1
52.5,744.0,1
11.0,841.0,0
11.6,466.0,0
41.2,507.0,0
81.6,755.0,1
28.5,372.0,0
45.5,408.0,0
21.5,757.0,0
74.8,786.0,1
40.6,764.0,1
38.6,314.0,0
30.5,541.0,1
76.9,797.0,1
44.9,676.0,1
14.0,348.0,0
74.3,692.0,1
30.3,417.0,0
24.6,343.0,0
28.7,397.0,0
