credit_score,income,existing_loans,age,loan_amount,employment_years,default
0.573,2.075,-0.476,1.318,-1.406,-0.722,0.0
-1.775,1.126,-0.076,0.688,-0.805,0.448,0.0
1.425,0.91,-0.191,-1.503,-0.065,-0.634,0.0
0.461,0.267,0.806,-2.517,-0.604,-3.9,1.0
1.582,0.011,1.706,0.156,-0.151,-0.885,0.0
1.696,0.961,-0.842,0.687,-3.505,-3.33,0.0
1.832,-0.427,0.183,0.254,-0.821,-0.517,0.0
-1.717,0.949,0.914,1.073,0.04,-0.699,0.0
-2.359,0.879,-0.663,2.288,0.391,-0.57,0.0
0.947,1.634,0.944,1.307,-1.602,-0.73,0.0
-0.647,2.921,0.202,-2.018,-2.12,-1.74,0.0
-1.993,-0.119,-0.674,0.241,-0.962,-1.48,0.0
1.164,1.282,-0.568,-2.159,-0.828,-0.421,0.0
0.764,2.497,-0.481,0.04,-4.613,-2.901,0.0
0.945,0.55,0.029,-0.177,-1.485,-0.939,0.0
0.891,1.423,0.512,-0.449,0.704,-2.262,0.0
2.305,-0.048,0.359,-1.378,-0.291,-0.067,0.0
-1.15,-1.004,0.023,-0.943,1.304,0.338,1.0
0.65,2.476,-0.343,1.41,-1.541,0.154,0.0
0.198,2.17,-1.424,-1.62,-0.373,-1.522,0.0
0.994,1.409,-0.252,-1.352,-0.389,-1.434,0.0
-1.926,0.041,0.724,1.811,1.966,0.779,0.0
-0.121,0.459,2.166,1.27,-0.879,-2.679,0.0
-0.752,0.342,-0.943,-0.276,-1.298,-0.15,0.0
1.178,0.976,1.412,-1.173,-2.037,-1.352,0.0
-3.523,-0.325,-0.615,1.924,1.63,-0.226,0.0
-1.616,1.493,-0.727,0.977,-0.388,1.069,0.0
0.298,1.646,1.15,-0.648,-1.094,-1.858,0.0
0.791,-1.709,0.041,0.461,1.203,-1.434,1.0
-2.2,-0.111,0.461,-2.208,0.128,-2.664,1.0
0.739,1.692,0.501,-1.019,-0.032,-2.079,0.0
2.446,-0.596,-0.182,-0.155,0.506,-0.368,0.0
-2.128,0.591,0.379,1.001,0.695,-0.34,0.0
2.087,-1.167,1.136,0.145,-0.736,1.171,0.0
-2.535,0.067,2.423,-0.125,-1.373,-1.389,0.0
-1.413,1.04,-0.519,1.554,-0.643,-1.454,0.0
-1.064,0.376,0.382,0.238,-0.973,0.075,0.0
-2.314,-0.636,0.423,0.837,0.616,-0.878,0.0
-2.476,-0.694,0.243,1.071,1.396,1.67,0.0
-3.127,0.124,-0.473,0.863,0.787,1.765,0.0
-0.231,2.495,0.672,-0.907,-0.978,-2.712,0.0
0.357,0.442,-0.562,0.925,-1.033,-1.598,0.0
-0.783,1.491,0.795,1.709,-0.45,-0.248,0.0
0.434,2.453,-0.721,-2.798,-1.975,-1.543,0.0
-1.971,0.716,-0.331,0.456,-0.731,-0.126,0.0
-2.411,0.498,-2.168,0.704,-1.475,-1.729,0.0
2.148,1.028,-1.262,-1.371,1.125,-2.323,0.0
-1.897,2.194,0.217,0.753,-0.939,0.251,0.0
-1.049,0.486,-0.665,1.04,-0.36,-0.707,0.0
-0.536,0.944,0.558,1.724,0.052,0.042,0.0
-0.523,2.696,-1.698,-2.142,-2.133,-1.202,0.0
1.634,0.748,0.115,0.63,-1.506,-1.604,0.0
-0.885,1.137,-0.581,0.57,-1.981,-0.968,0.0
-2.023,0.583,-1.18,1.375,2.245,-1.816,1.0
0.372,1.47,1.406,0.737,-2.466,-1.662,0.0
1.782,0.995,-0.999,-2.17,-0.515,-0.793,0.0
-0.148,1.09,-1.122,0.473,-1.812,-1.227,0.0
