x,y
0.155,5.309
1.402,-0.347
1.661,4.413
-1.604,3.093
-1.724,1.942
-1.519,3.392
0.228,2.756
-0.127,5.064
-2.391,2.204
0.038,3.813
0.313,1.068
2.566,0.697
3.539,1.045
1.376,4.604
1.814,-0.118
-1.722,3.319
1.338,3.687
1.315,3.314
-1.222,4.737
0.985,0.442
-1.922,3.081
1.258,3.535
1.014,0.617
0.170,4.652
-3.040,2.118
-2.364,2.757
0.033,3.026
-2.454,2.603
2.576,1.212
2.676,2.069
-0.996,2.590
0.013,5.253
1.539,2.862
2.196,1.107
2.751,-0.168
-3.284,2.324
2.500,0.793
-0.557,0.615
0.283,4.789
0.631,1.447
-1.645,3.938
2.313,1.446
-0.056,3.910
1.323,-0.422
1.490,0.465
-1.379,3.005
2.308,0.004
-1.880,0.176
-0.511,3.364
1.516,-0.107
-2.039,3.161
1.913,2.929
-2.137,4.086
-0.794,2.971
1.041,0.240
0.160,4.351
0.735,5.026
-1.078,3.861
-3.655,2.936
2.356,5.626
1.195,0.586
3.816,1.249
0.369,4.332
-2.588,4.089
2.813,0.673
-3.587,3.144
0.941,3.253
1.696,1.231
0.404,4.913
1.567,1.272
-0.464,2.349
-0.159,4.466
-3.660,3.696
-0.739,2.814
1.935,1.868
1.164,5.183
2.307,0.809
-1.993,2.037
0.644,4.088
1.036,4.576
-2.792,2.387
1.805,4.591
3.283,0.277
-0.208,3.888
0.311,5.693
3.121,5.154
0.774,0.454
-2.829,3.638
0.915,5.846
0.253,3.683
-0.540,2.707
3.375,1.665
-2.922,3.293
2.321,4.119
2.524,0.379
1.949,0.286
-0.167,5.176
0.464,1.218
-2.996,1.507
0.658,3.066
2.680,0.754
-0.721,4.155
0.986,5.911
2.728,-0.172
1.966,4.894
1.829,4.164
-2.401,3.201
1.297,4.940
1.421,1.747
0.854,-0.314
0.045,4.917
-1.210,3.259
2.923,5.507
1.090,4.666
-1.762,2.754
-1.873,2.518
-0.018,4.351
2.657,5.119
0.025,-0.023
2.655,0.483
0.527,1.246
-3.543,3.279
1.432,2.280
1.205,0.529
2.439,1.507
-1.693,2.191
1.638,1.331
1.658,0.645
1.168,-0.427
-3.412,3.029
-1.110,3.169
-1.840,2.395
0.397,2.303
-2.679,2.391
-1.883,1.874
1.709,0.983
-1.568,3.116
0.371,3.980
-1.745,4.284
-1.309,2.118
1.727,1.039
-0.072,5.115
1.884,0.542
1.395,2.921
-0.745,3.167
-1.805,2.708
-0.151,5.004
-1.271,4.486
-1.115,2.050
1.468,0.429
0.517,3.241
-1.335,1.830
0.518,3.910
3.092,1.869
-1.727,2.096
-2.026,2.494
1.793,0.212
2.527,0.977
0.613,5.404
1.737,-0.557
-0.559,6.059
2.084,5.386
1.956,1.816
0.201,6.023
-0.690,3.442
2.671,3.091
1.747,3.718
1.495,4.116
0.244,2.750
-1.208,3.473
4.089,0.860
1.017,4.135
-0.684,4.189
2.100,1.342
1.115,1.988
3.400,-0.965
0.405,3.977
2.684,0.901
0.528,6.040
2.316,6.010
2.302,0.096
-0.787,2.923
1.333,3.320
1.106,5.613
0.883,4.673
0.177,2.521
2.183,0.610
-1.119,1.271
0.628,4.032
-0.806,2.988
0.951,4.689
1.245,5.498
2.090,-0.593
1.408,0.166
-2.121,3.076
0.888,3.707
3.017,0.490
-1.950,2.723
1.529,5.134
-2.443,2.848
1.936,0.630
-1.644,3.002
2.002,3.192
-2.553,3.624
2.017,0.639
-0.833,3.844
-0.366,4.699
-2.183,3.095
0.585,5.968
2.041,1.042
1.136,3.942
0.663,4.445
-1.775,2.279
1.368,-0.396
1.440,2.391
0.879,2.390
1.015,1.601
-0.491,4.720
-0.751,0.528
2.874,1.183
1.552,2.849
-0.338,1.443
2.678,1.523
2.745,1.218
1.116,4.644
-3.342,2.432
-1.949,0.937
0.604,3.631
3.019,2.995
0.283,2.878
-0.080,6.053
1.519,0.850
1.624,1.456
0.193,3.783
1.482,0.540
-2.476,3.656
-2.726,1.146
-0.678,0.452
0.076,2.913
0.696,4.354
2.040,1.239
-1.494,3.609
-1.038,3.313
-1.979,5.089
-2.740,2.232
2.634,-0.516
0.033,3.534
-2.345,2.536
1.126,4.875
2.894,1.204
2.763,0.478
1.581,4.671
0.397,0.467
0.475,1.304
-1.193,3.046
-0.187,4.544
0.669,0.955
-0.425,2.976
1.831,4.168
2.037,4.142
-2.231,2.819
1.990,3.332
-0.340,2.124
-1.947,1.643
-1.321,4.892
-1.182,2.887
0.351,4.169
1.933,1.921
1.518,0.684
1.869,1.690
2.000,0.801
1.754,3.636
1.671,5.045
0.566,4.320
1.831,4.383
2.707,5.636
-1.351,1.314
-2.120,2.455
1.777,-0.611
2.045,4.589
1.632,4.420
1.468,0.546
2.033,0.233
2.414,-1.598
-1.348,2.872
2.827,1.925
-2.252,1.911
-2.377,3.132
1.775,0.985
2.143,1.422
-1.710,2.819
-0.679,2.677
-0.165,3.416
4.129,-0.056
1.447,4.149
-0.476,4.112
-0.537,4.086
1.436,-0.195
0.306,3.560
0.900,2.851
