x,y,true_label
0.1547,5.3091,0
1.4022,-0.3474,1
1.6612,4.4133,0
-1.6042,3.0927,2
-1.7245,1.9422,2
-1.5191,3.3922,2
0.2277,2.7557,1
-0.1266,5.0637,0
-2.3914,2.2041,2
0.0381,3.8128,2
0.3126,1.0676,1
2.5658,0.6973,1
3.5386,1.0455,1
1.3757,4.6041,0
1.8143,-0.1175,1
-1.7222,3.3187,2
1.3384,3.6875,0
1.3151,3.3143,0
-1.2219,4.7368,2
0.9853,0.4415,1
-1.9222,3.0811,2
1.258,3.5351,0
1.0136,0.6166,1
0.1704,4.652,0
-3.04,2.1178,2
-2.364,2.7572,2
0.0326,3.0258,0
-2.4538,2.6029,2
2.5759,1.2124,1
2.6761,2.0693,1
-0.996,2.5904,2
0.0126,5.2528,0
1.539,2.8619,0
2.1961,1.1066,1
2.7512,-0.1678,1
-3.2835,2.324,2
2.4996,0.7932,1
-0.5565,0.6146,2
0.2833,4.7891,0
0.6306,1.447,1
-1.6449,3.9377,2
2.313,1.4456,1
-0.0565,3.9097,0
1.3232,-0.4221,1
1.49,0.4647,1
-1.3794,3.0046,2
2.3077,0.0039,1
-1.8801,0.1764,2
-0.5112,3.3643,2
1.5165,-0.1066,1
-2.0393,3.1608,2
1.9134,2.9287,1
-2.1371,4.0859,2
-0.7938,2.9709,2
1.0411,0.2401,1
0.1597,4.3505,0
0.7351,5.026,0
-1.0781,3.8611,2
-3.6547,2.9362,2
2.3558,5.6262,0
1.1949,0.5863,1
3.8156,1.2487,1
0.3694,4.3324,0
-2.5881,4.0892,2
2.8127,0.6732,1
-3.5867,3.1442,2
0.9409,3.2525,0
1.6958,1.2307,1
0.404,4.9126,0
1.5667,1.2721,1
-0.4637,2.3492,2
-0.1589,4.4655,2
-3.6595,3.6955,2
-0.7387,2.8143,2
1.9349,1.8676,1
1.1637,5.1828,0
2.3072,0.8093,1
-1.9927,2.0369,2
0.644,4.0883,0
1.0361,4.576,0
-2.7923,2.3868,2
1.805,4.5906,0
3.2833,0.2772,1
-0.208,3.8884,0
0.3107,5.6925,0
3.1211,5.1538,0
0.7736,0.4537,1
-2.8288,3.6382,2
0.9149,5.8458,0
0.2532,3.6832,0
-0.5402,2.7071,2
3.3752,1.665,1
-2.9223,3.2935,2
2.3209,4.1191,0
2.5242,0.3795,1
1.9489,0.2855,1
-0.1672,5.1762,0
0.4636,1.2176,1
-2.9963,1.5069,2
0.6577,3.0663,0
2.6797,0.754,1
-0.7212,4.1553,2
0.9857,5.9111,0
2.7277,-0.1724,1
1.966,4.8935,0
1.8288,4.1643,0
-2.4009,3.2012,2
1.297,4.9397,0
1.421,1.7466,1
0.8544,-0.3144,1
0.0455,4.9172,0
-1.2103,3.2592,2
2.9232,5.5067,0
1.0905,4.6656,0
-1.7624,2.7539,2
-1.8731,2.5184,2
-0.0177,4.3507,0
2.6571,5.1192,0
0.0253,-0.0226,1
2.655,0.483,1
0.527,1.2462,1
-3.5425,3.2792,2
1.4324,2.2804,1
1.2053,0.5286,1
2.4389,1.5069,1
-1.6935,2.191,2
1.638,1.331,1
1.6584,0.6453,1
1.1683,-0.427,1
-3.412,3.0292,2
-1.1101,3.1691,2
-1.8396,2.3947,2
0.397,2.3027,0
-2.6786,2.391,2
-1.8826,1.8744,2
1.7089,0.9826,1
-1.568,3.1163,2
0.3711,3.9802,0
-1.7447,4.2843,2
-1.309,2.118,2
1.727,1.0387,1
-0.0724,5.1145,0
1.8837,0.5423,1
1.3954,2.9212,0
-0.7448,3.1671,2
-1.8051,2.7078,2
-0.1512,5.0035,0
-1.2711,4.4863,2
-1.1152,2.0497,2
1.4682,0.4286,1
0.5165,3.2412,0
-1.3348,1.8302,2
0.5176,3.9095,0
3.0924,1.8693,1
-1.7272,2.0961,2
-2.0258,2.4943,2
1.7926,0.2123,1
2.5268,0.9772,1
0.6134,5.404,0
1.7372,-0.5572,1
-0.5594,6.0595,0
2.0835,5.3859,0
1.9558,1.8158,1
0.2012,6.0228,0
-0.6903,3.4419,2
2.6711,3.0908,0
1.7474,3.7179,0
1.4952,4.1163,0
0.2444,2.7501,0
-1.2076,3.4731,2
4.0886,0.8596,1
1.0175,4.1353,0
-0.6838,4.189,2
2.0998,1.3421,1
1.1145,1.9877,1
3.4003,-0.9653,1
0.4054,3.9773,0
2.6839,0.9011,1
0.528,6.0404,0
2.3157,6.0101,0
2.3023,0.0958,1
-0.7875,2.9226,2
1.3327,3.32,0
1.1059,5.6126,0
0.8834,4.6733,0
0.1773,2.5211,0
2.183,0.6103,1
-1.1185,1.2711,2
0.6277,4.0317,0
-0.8064,2.9883,2
0.9509,4.6893,0
1.2447,5.4975,0
2.09,-0.5934,1
1.4076,0.166,1
-2.121,3.0761,2
0.8877,3.7067,0
3.0169,0.4896,1
-1.9499,2.7228,2
1.5289,5.1338,0
-2.4431,2.8478,2
1.9357,0.6297,1
-1.644,3.0024,2
2.0017,3.1924,0
-2.5527,3.6243,2
2.0173,0.6395,1
-0.8326,3.8444,2
-0.3659,4.6992,0
-2.183,3.0948,2
0.5846,5.9681,0
2.0412,1.0425,1
1.136,3.9422,0
0.6631,4.4445,0
-1.775,2.2791,2
1.3675,-0.3963,1
