x,y
-10.8152,-3.3177
-6.5177,-8.436
-10.9735,-1.9939
-1.6246,4.2254
-1.5009,4.5017
-1.236,4.5167
-10.1065,-4.5912
-0.9389,3.8595
-2.1771,5.1277
-7.4032,-8.0841
-7.2721,-8.0018
-5.9558,-7.7147
-8.7507,-3.8658
-10.7953,-4.0388
-7.9511,-8.1674
-1.4605,4.1692
-11.0633,-5.3619
-12.0029,-5.6447
-1.4043,4.207
-10.0857,-3.9465
-8.5493,-4.9979
-10.1323,-4.0927
-0.7543,5.6223
-1.435,4.348
-2.5736,4.127
-11.3371,-3.2933
-10.026,-2.2649
-1.8739,4.8308
-10.2011,-2.8335
-10.6619,-4.6578
-1.9045,5.0689
-6.546,-8.0674
-6.1357,-8.1753
-9.6288,-4.8941
-7.1794,-7.3268
-8.7042,-3.5512
-7.993,-7.0731
-1.813,3.6964
-8.3175,-7.3422
-1.6905,3.1139
-0.4899,2.7584
-6.7048,-6.741
-1.1155,4.1506
-2.1556,4.9649
-9.5008,-3.1885
-10.2589,-5.0275
-1.9175,4.0992
-5.9106,-8.585
-10.7448,-4.3798
-9.7716,-4.6142
-6.7711,-7.1669
-10.5588,-4.3831
-9.474,-3.9943
-9.9127,-5.1739
-0.6406,5.9802
-11.139,-2.539
-1.4071,2.7887
-6.929,-9.0844
-1.2492,4.168
-10.2737,-4.138
-8.5299,-3.5018
-7.1492,-7.6491
-7.3647,-8.7532
-2.1966,4.3964
-0.7004,4.5546
-6.7669,-8.272
-7.34,-8.9534
-1.8043,3.9234
-7.4378,-7.0452
-9.3289,-2.7187
-2.2573,5.7605
-1.4755,5.0161
-1.4311,5.1146
-10.5782,-4.6476
-2.6436,4.8469
-10.4343,-4.1124
-6.7036,-7.2699
-0.3317,5.0001
-1.7479,3.9126
-9.987,-4.5091
-10.558,-4.1161
-8.8717,-3.8501
-2.2129,4.0891
-11.5524,-3.6714
-1.9077,2.4586
-7.6872,-7.2606
-11.3183,-4.6658
-12.2322,-2.4033
-0.9645,5.0068
-9.8036,-3.7919
-7.746,-7.3525
-1.3065,4.3264
-11.4025,-3.3815
-6.8167,-9.8286
-10.3567,-4.4913
-7.5652,-8.6283
-9.3617,-4.2529
-11.6275,-5.5074
-6.5355,-7.3641
-7.0369,-6.9901
-9.7699,-3.7434
-6.5556,-7.0258
-1.1323,3.1045
-7.2662,-7.8471
-6.9622,-6.7449
-0.8285,6.1561
-1.5621,5.3101
-9.6038,-4.4979
-6.4409,-8.6568
-9.4689,-2.5196
-7.4482,-7.8731
-8.2875,-4.5818
-7.712,-7.7073
-0.9672,2.5653
-10.3515,-3.6945
-2.5534,4.594
-6.6916,-7.3263
-10.1538,-3.309
-9.8727,-4.1055
-1.7687,4.3112
-10.5624,-2.9992
-1.8374,4.2459
-6.3922,-8.2355
-8.3568,-3.4848
-6.3823,-8.265
-1.8088,4.3251
-1.8725,4.4326
-9.3151,-4.2838
-8.9957,-9.5753
-10.0941,-4.9398
-5.4212,-8.1105
-9.9992,-5.0706
0.093,2.8894
-5.7098,-7.9957
-7.4907,-7.2587
-11.2287,-4.3117
-7.2428,-6.9771
-8.8867,-4.4824
-9.7765,-4.54
-9.53,-3.6939
-7.2903,-6.5081
-1.2634,4.2667
-1.2431,3.491
-8.3282,-8.8161
-9.9845,-3.8116
-6.3681,-8.56
-1.3791,3.3567
-9.5033,-4.1007
-7.9233,-7.7571
-2.0732,3.6089
-7.3727,-6.9867
-10.3963,-4.2021
-7.3968,-7.7917
-9.499,-4.3013
-2.7581,4.6586
-7.5414,-8.4005
-7.2116,-7.2724
-10.6232,-4.3034
-6.2917,-7.5828
-9.6541,-4.4389
-9.5003,-4.4332
-1.7579,3.6579
-1.0253,3.9077
-6.5102,-8.7597
-1.4736,4.9525
-10.8909,-3.8886
-6.1857,-8.8745
-1.0671,3.6435
-2.0173,5.3861
-10.4437,-3.202
-0.5944,4.1766
-10.147,-3.9988
-10.1881,-3.0291
-1.9346,4.4414
-1.0108,5.242
-1.8267,4.8758
-6.0981,-7.2607
-10.1869,-3.3711
-6.6561,-6.7847
-8.8466,-9.5127
-2.2093,3.7303
-10.9872,-3.2527
-0.9826,3.7189
-9.8905,-2.9917
-2.8149,4.0029
-1.5634,4.9003
-3.1459,5.3954
-7.4,-8.5366
-9.3907,-3.2454
-7.7609,-7.8579
-9.9214,-3.2162
-1.2687,4.346
-1.5973,4.9012
-2.1961,4.7085
-0.9383,4.8085
-9.9802,-4.3283
-1.5068,6.0867
-10.893,-2.3885
-2.2631,5.4088
-0.1358,5.2953
-6.0199,-8.6369
-8.1839,-8.0878
-10.0653,-4.1912
-6.4178,-6.7214
-6.7675,-6.6708
-1.1777,4.7427
-6.5254,-8.7311
-8.3748,-4.9863
-7.2479,-6.8625
-9.6639,-3.3255
-2.0821,3.5481
-9.5857,-6.1794
-7.7045,-8.3865
-0.7624,4.7336
-8.6266,-9.2751
-1.3208,4.4684
-7.2856,-7.1701
-11.1504,-2.9675
-0.7313,4.7021
-1.9598,3.8955
-10.4476,-2.3894
-6.704,-8.7092
-9.5029,-4.3079
-1.5103,4.7345
-5.7682,-8.7982
-0.9884,5.1514
-10.327,-2.9305
-1.6793,3.7864
-1.7975,3.7042
-7.9556,-8.2072
-1.9803,5.0657
-9.7046,-4.789
-7.2241,-6.6601
-7.6787,-7.6136
-2.5355,4.542
-7.1203,-8.2399
-10.6995,-4.6476
-8.4952,-7.8638
-7.5159,-8.0815
0.0889,3.2893
-6.6526,-9.0451
0.3631,4.2076
-6.1066,-6.7896
-10.378,-3.5713
-1.2094,4.5991
-6.9201,-7.2675
-2.5401,5.3223
-1.257,5.4411
-1.3368,4.8814
-10.0905,-4.0937
-1.6189,3.8969
-7.2961,-8.4667
-11.0429,-3.8922
-7.7229,-7.5759
-2.619,5.0972
-6.9516,-10.1663
-10.7621,-3.4846
-6.9511,-7.7424
-9.1062,-4.4226
-1.6456,3.5089
-9.1896,-3.2173
-7.4328,-7.6377
-1.5315,5.1074
-7.573,-3.2937
-6.4429,-8.2482
-0.2637,3.7975
-0.7525,3.5266
-9.9491,-3.7844
-10.6868,-3.4136
-6.7039,-9.5005
-8.4404,-8.1075
-1.4194,4.1247
-6.1474,-8.193
-7.4045,-8.7385
-2.6776,4.6573
-8.7789,-8.8174
-7.3299,-7.844
-7.0512,-8.4965
-0.8705,4.5773
-5.6677,-8.7733
-1.6258,4.8727
-5.8962,-7.6792
-9.099,-3.7091
-6.2328,-8.888
-5.6567,-8.2018
-8.3451,-5.1303
-6.0171,-9.0772
-9.6472,-3.0555
-6.6418,-9.9429
-6.2559,-9.3345
-9.3155,-3.9251
-11.4962,-3.2169
-1.0181,4.4437
-10.221,-2.6551
-8.8366,-4.4478
-0.3574,4.6769
-10.9436,-4.486
-6.2289,-7.6664
-7.5458,-7.7084
-7.207,-9.3616
-1.6596,4.4065
-9.9977,-3.9533
-7.0649,-8.1532
-6.2748,-3.0888
-2.0647,0.7763
-1.6161,3.7044
-5.911,7.5623
-9.4522,3.4094
-1.6539,1.1738
-7.1923,-6.038
6.0149,9.3652
-3.7315,3.8465
7.5278,7.8921
-8.2991,-9.2189
-6.6034,7.5629
-8.0331,-1.5778
9.1578,0.6633
3.8375,-3.6897
3.73,6.6925
-9.6342,5.0029
9.7772,4.9633
-4.3911,5.7856
-7.9355,-1.0421
8.1719,-4.1277
-4.2445,-7.3994
-9.6127,3.5767
-5.7674,-4.6891
-0.1685,-8.9327
1.4824,-7.0654
1.7861,3.9952
-7.9533,-1.7189
3.888,-1.7164
-9.0009,0.7179
3.2759,0.2978
8.8919,1.7311
8.068,-7.2505
-7.2145,6.1478
-2.0465,-6.6929
8.5502,-3.0447
5.0162,4.52
