x,y
0.727,-0.505
0.235,-0.244
0.938,0.366
0.983,-0.492
1.227,-0.403
-1.023,0.178
1.187,-0.474
0.675,-0.406
0.508,0.851
-0.711,0.802
1.934,0.270
0.923,0.312
0.225,-0.240
1.437,-0.513
0.932,0.351
-0.056,1.003
1.774,0.019
-0.399,0.963
1.092,-0.566
0.075,0.199
0.381,-0.197
-0.436,0.905
-0.886,0.489
-0.846,0.449
0.986,-0.596
-0.769,0.597
0.417,-0.306
2.017,0.248
1.246,-0.508
1.940,0.391
-0.362,0.955
0.314,0.981
0.928,0.147
-0.870,0.568
0.792,-0.489
0.009,0.514
0.111,-0.035
0.134,-0.154
1.967,0.525
0.925,0.152
1.058,-0.624
-0.275,0.994
-0.175,0.967
0.746,0.639
0.381,0.816
-0.909,0.274
1.191,-0.559
0.251,0.941
0.998,0.128
0.624,0.854
-0.012,0.916
0.665,-0.434
0.044,0.003
-0.652,0.784
0.205,0.958
1.597,-0.320
0.053,0.135
0.877,0.355
2.068,0.212
-0.037,0.413
-0.921,0.304
-1.118,0.208
0.233,1.032
1.950,0.466
1.974,0.246
0.927,-0.427
1.589,-0.258
-0.734,0.689
1.051,0.346
0.557,0.893
0.014,0.409
1.050,-0.475
1.775,0.078
0.835,0.498
-0.954,0.078
1.585,-0.328
0.752,0.694
-0.465,0.954
0.283,-0.305
-0.980,0.297
-0.796,0.591
0.018,0.284
1.697,-0.222
0.797,-0.529
1.211,-0.479
-0.041,1.135
0.697,-0.409
1.055,-0.571
1.646,-0.371
1.101,-0.429
1.831,0.176
0.559,0.900
1.906,-0.066
0.278,-0.306
-0.026,0.441
-0.008,0.342
-0.495,0.869
0.373,0.822
0.288,-0.149
0.890,0.339
1.818,0.101
1.483,-0.322
-0.843,0.466
0.152,0.092
0.073,1.007
1.041,-0.522
1.403,-0.476
0.617,-0.476
2.024,0.255
0.804,-0.450
0.042,0.322
0.006,0.364
0.666,0.664
-0.314,0.923
1.496,-0.469
0.242,0.865
0.162,0.159
1.955,0.097
-0.702,0.636
0.886,0.383
0.870,0.643
-0.910,0.114
0.908,0.264
0.426,0.946
-0.117,1.021
-0.616,0.750
0.125,-0.051
0.438,-0.332
0.008,0.256
1.100,0.125
-0.416,0.908
0.148,0.272
0.337,0.995
0.032,0.995
-0.976,0.256
0.526,-0.512
1.677,-0.187
1.884,0.006
0.717,0.764
1.736,-0.089
1.012,0.271
-0.585,0.779
0.882,-0.565
0.993,0.075
0.063,0.346
-0.847,0.427
0.828,0.478
0.743,0.640
-0.025,1.015
2.006,0.453
0.671,-0.586
0.933,0.387
1.552,-0.371
1.315,-0.429
1.737,0.004
-0.173,0.946
0.338,0.895
0.878,0.010
1.203,-0.518
-0.478,0.872
0.260,-0.127
-0.172,1.001
1.024,0.271
0.433,-0.384
0.393,0.781
0.740,0.794
0.954,0.304
-0.056,0.374
0.560,0.947
2.151,0.349
1.139,-0.515
-0.915,0.516
0.529,-0.372
0.326,0.951
0.268,-0.238
0.934,-0.594
-0.992,0.468
0.733,-0.365
1.601,-0.351
0.577,0.798
-0.710,0.736
-0.956,0.334
1.981,0.340
0.763,-0.544
-0.985,-0.053
-0.655,0.788
1.315,-0.338
-0.610,0.904
0.916,-0.484
-0.457,0.890
0.806,-0.495
0.020,0.243
0.738,0.616
0.155,0.034
-0.749,0.662
1.065,-0.154
-0.329,0.879
1.885,0.021
-0.362,0.892
1.957,0.515
1.554,-0.217
1.240,-0.493
0.236,0.991
0.524,0.752
0.486,0.860
-0.198,1.013
2.000,0.489
-0.959,0.058
0.642,-0.387
0.920,0.444
1.390,-0.466
-1.008,0.089
-1.109,0.087
-0.142,1.044
0.160,-0.119
-0.525,0.886
0.558,-0.591
-0.896,0.397
1.768,-0.190
2.021,0.502
0.406,-0.338
0.936,0.115
0.044,1.016
0.505,-0.385
-0.283,0.945
0.081,-0.009
-0.824,0.534
-1.087,0.110
1.653,-0.234
1.856,0.021
-0.976,0.167
1.710,-0.365
-0.300,0.917
-0.171,0.969
1.921,0.095
0.984,0.330
-0.810,0.591
-0.589,0.830
0.768,0.651
0.333,0.957
0.024,0.125
1.186,-0.409
0.194,1.062
1.062,-0.039
-0.892,0.556
1.868,-0.096
0.238,-0.095
0.650,0.635
-0.581,0.831
-0.923,0.378
-0.099,0.916
0.914,0.294
1.670,-0.264
1.185,-0.482
0.669,0.679
-0.945,0.396
0.318,0.922
1.616,-0.374
-1.020,0.374
0.844,0.580
0.176,-0.080
0.123,0.253
-0.035,0.546
1.445,-0.365
0.504,-0.560
0.921,0.511
0.779,0.768
-0.874,0.504
0.170,-0.279
1.872,0.137
1.810,-0.104
-0.987,0.107
1.798,-0.039
0.110,0.027
-0.480,0.997
0.508,-0.339
1.456,-0.412
-0.796,0.698
1.712,-0.174
0.132,0.993
0.816,0.475
0.111,0.156
1.945,0.219
0.136,-0.008
1.882,0.237
0.625,0.807
0.432,-0.252
-0.311,0.911
0.064,0.932
-0.111,0.831
1.395,-0.510
1.888,-0.007
0.649,-0.528
1.087,0.181
0.371,-0.279
1.531,-0.305
0.258,-0.256
-0.735,0.525
0.575,0.938
0.105,0.102
